iter	Passed	Remaining
0	0	43
1	0	47
2	1	45
3	1	40
4	2	39
5	2	38
6	2	38
7	3	38
8	3	37
9	4	36
10	4	35
11	4	34
12	5	33
13	5	33
14	5	33
15	6	32
16	6	32
17	7	32
18	7	31
19	8	32
20	8	31
21	8	31
22	9	31
23	9	30
24	10	30
25	10	29
26	10	29
27	11	29
28	11	28
29	12	28
30	12	28
31	13	28
32	13	27
33	14	27
34	14	26
35	14	26
36	15	26
37	15	25
38	16	25
39	16	25
40	17	24
41	17	24
42	17	23
43	18	23
44	18	22
45	19	22
46	19	22
47	20	21
48	20	21
49	20	20
50	21	20
51	21	20
52	22	19
53	22	19
54	22	18
55	23	18
56	23	17
57	24	17
58	24	17
59	25	16
60	25	16
61	26	15
62	26	15
63	26	15
64	27	14
65	27	14
66	28	14
67	28	13
68	29	13
69	29	12
70	30	12
71	30	11
72	31	11
73	31	11
74	31	10
75	32	10
76	32	9
77	33	9
78	33	8
79	34	8
80	34	8
81	35	7
82	35	7
83	36	6
84	36	6
85	36	5
86	37	5
87	37	5
88	38	4
89	38	4
90	39	3
91	41	3
92	42	3
93	42	2
94	42	2
95	43	1
96	43	1
97	44	0
98	44	0
99	45	0
