iter	Passed	Remaining
0	58	58553
1	59	29663
2	60	19990
3	60	15168
4	61	12264
5	62	10333
6	62	8934
7	63	7888
8	64	7076
9	64	6430
10	65	5896
11	66	5459
12	67	5089
13	67	4769
14	68	4496
15	69	4260
16	69	4043
17	70	3859
18	71	3696
19	72	3551
20	73	3412
21	74	3300
22	75	3201
23	76	3103
24	77	3009
25	77	2921
26	78	2840
27	79	2766
28	80	2694
29	81	2626
30	82	2565
31	82	2506
32	83	2453
33	84	2400
34	85	2344
35	85	2294
36	86	2250
37	87	2207
38	87	2164
39	88	2130
40	90	2108
41	91	2076
42	92	2047
43	93	2020
44	93	1994
45	94	1967
46	95	1937
47	96	1912
48	97	1889
49	98	1868
50	99	1846
51	100	1823
52	100	1799
53	101	1775
54	102	1753
55	102	1733
56	103	1715
57	104	1696
58	105	1680
59	106	1666
60	107	1651
61	108	1634
62	108	1618
63	109	1602
64	110	1590
65	111	1574
66	112	1560
67	112	1546
68	113	1533
69	114	1518
70	115	1505
71	115	1491
72	116	1478
73	117	1465
74	117	1453
75	118	1441
76	119	1431
77	120	1419
78	120	1409
79	121	1398
80	122	1386
81	122	1375
82	123	1361
83	123	1351
84	124	1340
85	125	1332
86	126	1322
87	126	1313
88	127	1304
89	128	1296
90	128	1287
91	129	1279
92	130	1271
93	131	1263
94	131	1255
95	132	1246
96	133	1238
97	133	1231
98	134	1225
99	135	1218
100	136	1210
101	136	1203
102	137	1197
103	138	1190
104	138	1183
105	139	1176
106	140	1168
107	140	1162
108	141	1156
109	142	1150
110	142	1144
111	143	1138
112	144	1131
113	144	1125
114	145	1119
115	146	1113
116	146	1106
117	147	1101
118	148	1096
119	149	1092
120	149	1088
121	150	1083
122	151	1079
123	152	1074
124	152	1069
125	153	1065
126	154	1059
127	154	1055
128	155	1051
129	156	1047
130	157	1042
131	157	1037
132	158	1033
133	159	1029
134	159	1025
135	160	1020
136	161	1016
137	161	1011
138	162	1007
139	163	1003
140	164	999
141	164	993
142	165	989
143	165	985
144	166	981
145	167	977
146	167	973
147	168	969
148	169	965
149	169	961
150	170	957
151	170	953
152	171	949
153	172	944
154	172	941
155	173	937
156	173	933
157	174	930
158	175	926
159	175	923
160	176	918
161	176	914
162	177	910
163	177	907
164	178	903
165	179	900
166	179	896
167	180	893
168	181	890
169	181	886
170	182	883
171	182	880
172	183	877
173	184	873
174	184	871
175	185	867
176	185	864
177	186	861
178	187	858
179	187	855
180	188	852
181	188	849
182	189	846
183	190	843
184	190	841
185	191	838
186	192	835
187	192	832
188	193	829
189	193	826
190	194	824
191	195	821
192	195	818
193	196	815
194	196	813
195	197	810
196	198	807
197	198	805
198	199	802
199	200	800
200	200	797
201	201	795
202	202	793
203	202	790
204	203	788
205	203	786
206	204	783
207	205	781
208	205	778
209	206	776
210	206	773
211	207	771
212	208	768
213	208	766
214	209	763
215	209	761
216	210	758
217	210	756
218	211	754
219	212	752
220	212	749
221	213	747
222	213	745
223	214	742
224	215	740
225	215	738
226	216	735
227	216	733
228	217	731
229	217	729
230	218	726
231	218	724
232	219	722
233	219	719
234	220	717
235	220	715
236	221	712
237	221	710
238	222	708
239	223	706
240	223	704
241	224	702
242	224	699
243	225	697
244	225	695
245	226	694
246	226	692
247	227	689
248	228	687
249	228	685
250	229	683
251	229	682
252	230	679
253	230	678
254	231	675
255	231	673
256	232	672
257	233	670
258	233	668
259	234	666
260	234	664
261	235	662
262	235	660
263	236	658
264	236	657
265	237	655
266	238	653
267	238	651
268	239	649
269	239	648
270	240	646
271	240	644
272	241	643
273	242	641
274	242	639
275	243	638
276	243	636
277	244	634
278	245	633
279	245	631
280	246	629
281	246	628
282	247	626
283	247	624
284	248	623
285	248	621
286	249	619
287	250	618
288	250	616
289	251	614
290	251	613
291	252	611
292	252	609
293	253	608
294	253	606
295	254	604
296	254	603
297	255	601
298	256	600
299	256	598
300	257	597
301	257	595
302	258	594
303	258	592
304	259	591
305	259	589
306	260	587
307	260	585
308	261	584
309	261	582
310	262	580
311	262	579
312	263	577
313	263	576
314	264	574
315	264	573
316	265	571
317	265	570
318	266	568
319	266	567
320	267	565
321	267	564
322	268	562
323	269	561
324	269	560
325	270	558
326	270	556
327	271	555
328	271	553
329	272	552
330	272	550
331	273	549
332	273	547
333	273	546
334	274	544
335	274	543
336	275	541
337	275	540
338	276	538
339	276	537
340	277	536
341	277	534
342	278	532
343	278	531
344	279	529
345	279	528
346	279	526
347	280	525
348	280	523
349	281	522
350	281	520
351	282	519
352	282	517
353	283	516
354	283	515
355	284	513
356	284	512
357	284	511
358	285	509
359	285	508
360	286	507
361	286	505
362	287	504
363	287	503
364	288	501
365	288	500
366	289	499
367	289	497
368	290	496
369	290	495
370	291	493
371	291	492
372	292	491
373	292	489
374	293	488
375	293	487
376	294	485
377	294	484
378	295	483
379	295	482
380	296	481
381	296	480
382	297	478
383	297	477
384	298	476
385	298	475
386	299	473
387	299	472
388	300	471
389	300	470
390	301	469
391	301	467
392	302	466
393	302	465
394	303	464
395	303	463
396	304	461
397	304	460
398	305	459
399	305	458
400	305	456
401	306	455
402	306	454
403	307	453
404	307	452
405	308	451
406	308	450
407	309	448
408	309	447
409	310	446
410	310	445
411	311	444
412	311	443
413	312	441
414	312	440
415	313	439
416	313	438
417	314	437
418	314	436
419	315	435
420	315	434
421	316	432
422	316	431
423	317	430
424	317	429
425	318	428
426	318	427
427	319	426
428	319	425
429	320	424
430	320	423
431	321	422
432	321	421
433	322	420
434	322	419
435	323	417
436	323	416
437	324	415
438	324	414
439	325	413
440	325	412
441	326	411
442	326	410
443	327	409
444	327	408
445	328	407
446	328	406
447	329	405
448	329	404
449	329	403
450	330	402
451	330	401
452	331	400
453	331	399
454	332	398
455	332	397
456	333	395
457	333	394
458	334	393
459	334	392
460	334	391
461	335	390
462	335	389
463	336	388
464	336	387
465	337	386
466	337	385
467	338	384
468	338	383
469	338	382
470	339	381
471	339	380
472	340	379
